18581;30094
34011;35329
32235;33572
5254;5565
33319;35398
16192;17400
5477;5624
46114;46710
5979;6475
9159;9194
29220;29400
43719;44448
53096;55180
45752;55812
30760;33871
20612;21546
54238;55221
38390;41014
32383;35054
40124;43568
39036;42243
26738;27568
19364;21623
8449;9431
49642;51802
18457;21058
1281;1771
20626;21089
50095;55874
43728;44425
47655;48891
51596;56709
706;1854
15010;15777
17470;31286
37884;43535
18524;21454
26524;27296
37894;40332
6151;6206
40757;42996
37897;38497
53022;55570
18344;21430
52409;53465
49659;52435
11035;11062
51701;51984
16638;17108
37793;44458
54921;55045
37724;39404
31703;35320
52824;52991
26703;30257
3248;4582
3158;4985
53257;54971
21156;21833
55382;55448
31799;32081
43555;44640
30482;35419
50288;56520
30568;32170
14851;17727
18851;19602
48918;53682
19095;21546
19401;19999
15348;16301
17984;20652
11260;12377
41783;42841
28210;29334
1373;2099
17883;20472
27004;29017
31103;35195
51426;52355
47469;50911
4093;5273
27848;31003
3309;5770
46854;52996
22089;23227
27178;29352
52038;55705
36968;37151
6142;6283
1938;2160
41750;42663
55705;56628
26673;35223
47881;48440
52933;54205
32402;35649
38561;44834
16904;30189
3353;4653
23652;25296
40428;42872
6014;6480
1113;1499
39139;40955
16089;16119
7011;7138
15609;16273
6377;6543
2758;3105
46629;56583
3883;4822
38922;40434
34617;37338
14913;15717
24271;25943
10442;10519
12746;28541
29155;32314
16256;17495
15045;15875
521;2234
32864;33205
22249;23617
10267;55608
10293;12162
38760;44095
27114;27634
30070;34515
3291;3377
19563;28084
30784;32682
5026;5736
14609;26202
24655;49646
9765;26365
41212;43731
22107;26336
9253;9919
34683;35156
55307;55838
8074;10096
9095;9574
31896;32185
27474;29488
55420;55604
28925;29549
16423;47225
31435;33830
45730;47463
24878;26012
8755;9842
40469;43450
20569;21585
7159;7816
4515;4811
5449;5899
5301;5930
19449;32564
13583;23859
11394;12529
32757;36019
37986;39613
36942;37375
2508;2958
53281;55735
37739;40264
28104;29226
10379;11712
26461;29345
23115;25242
8270;56355
24892;50513
15213;15424
17971;20853
8209;8229
53184;55776
40344;44434
14548;46744
41371;42419
37598;42749
2553;2669
37855;42198
30917;31599
40299;42036
47682;48421
14876;15728
15311;22928
26757;26909
24774;27950
49422;56697
1083;1684
35150;35413
8194;9247
19479;20936
32634;35477
39713;44132
34640;35894
42271;42904
49327;52364
3681;3709
19878;21882
5958;6896
27386;28025
4834;5661
38101;44597
2322;2457
38152;44054
5127;5159
23258;26338
13596;23829
41183;42359
32893;35033
51543;52121
46458;50995
46274;50554
13920;25514
3472;3718
24399;25494
41387;42569
6753;6798
9360;27607
11736;12740
