1511;2467
1119;1222
175;1261
3163;3310
1008;1150
4013;4357
4119;4706
4160;4492
2675;3640
634;1032
3764;4764
3240;3549
4025;4756
1369;3439
2847;3956
2718;3588
8;377
81;357
4263;4541
3585;4556
1080;3345
17;765
454;586
2238;4061
643;1141
4595;4761
21;937
1569;2003
4540;4686
465;1623
118;1675
2498;2928
673;1151
17;654
1003;1235
75;400
647;1166
2807;3717
3297;3605
15;3412
1540;3503
173;1071
2830;2840
4203;4765
3915;3991
200;915
2009;3248
293;442
4191;4759
2681;2946
3022;3540
83;618
2598;3087
545;769
817;996
215;1145
1789;3143
1774;3557
1547;3692
1451;2057
2146;3367
1040;1084
1493;1790
33;3251
3766;4354
498;1182
44;790
592;2279
2268;3256
1534;3425
1795;3609
1935;2424
394;1041
4044;4359
679;728
684;838
3006;3446
2547;3156
3921;4186
3820;4753
4194;4225
2016;3423
3585;4778
3785;4174
1514;3421
646;2650
1878;3637
2921;2951
1451;3728
611;847
518;1257
796;971
2824;3010
3011;4785
451;586
4129;4155
1456;4221
4366;4408
532;957
2098;4015
520;925
4184;4200
1396;3016
449;1085
2354;3115
140;1014
1441;3679
608;694
203;1130
1857;2043
2593;3586
116;469
2304;2887
4493;4734
2861;3600
1762;2227
1579;2931
2768;3463
463;1745
1305;2298
2116;2748
4240;4613
2265;3652
3953;3964
2594;3103
3610;4320
2475;3611
1691;2521
2069;2786
773;1144
3744;4529
351;3393
1687;3381
362;1467
237;617
914;2410
2642;2943
2229;4782
353;632
2167;2845
2581;3136
4582;4646
31;275
3009;3025
2405;2808
1832;4564
794;2943
1430;2057
1444;2748
2291;2764
1824;3689
3327;4330
440;467
4166;4442
2472;2701
1487;2553
2031;2132
691;794
1814;3642
1562;2563
3096;3706
465;2100
215;948
4292;4651
2308;3052
2882;3939
350;581
385;583
80;89
4340;4399
3371;3577
2834;3300
1356;2243
1355;1424
2500;3402
1610;3270
18;291
1327;2498
4074;4149
2611;2768
1475;1751
3446;3641
1558;2990
108;2546
1926;3679
1330;2662
2366;2654
3642;3975
95;928
2254;3816
671;1131
3772;3852
3352;3357
1311;2898
1921;2106
3895;4184
1920;4755
795;1834
2623;3290
3006;3286
2745;3346
377;692
1903;2437
74;764
1148;1970
3905;4504
2252;3380
3744;3866
1479;2490
3877;4402
2080;2701
1810;3153
71;217
3844;4397
37;89
1360;2458
260;824
2984;3270
2691;3428
294;1224
4072;4478
1624;3666
2900;3690
2472;3702
4104;4587
2582;3258
2229;2946
122;450
3858;4679
3058;3439
3474;3677
1475;2845
2936;3926
421;732
1774;3254
4360;4751
2429;2779
1597;2118
1544;2222
118;2242
725;2138
3936;4047
109;729
4033;4679
3242;3458
245;425
138;1621
3532;3697
527;681
269;873
3644;4455
1511;3010
1092;2465
3683;4315
330;361
2019;2213
1268;3319
1813;2447
279;432
2486;3480
2781;3080
4208;4318
1973;2396
641;667
3917;4607
1788;2319
2407;2648
2810;3560
2326;3177
1836;2980
1781;3728
2580;2664
1479;2844
2350;2415
1631;2702
1534;1549
1205;2675
2532;3165
2717;2769
485;3175
477;488
1723;2543
154;957
2447;3488
1920;4635
175;865
3337;3410
399;605
2614;3557
23;685
304;1677
449;980
4119;4572
4364;4738
1903;3222
87;739
1606;2539
3107;3159
3377;3872
1509;1767
2308;2513
994;1300
1463;3022
3863;4337
4498;4676
2663;2876
3939;3987
3093;3379
257;350
1981;2341
100;298
504;1203
1827;3751
4093;4690
1438;1632
906;2897
905;3170
1512;4459
1529;3411
1768;1781
236;1094
1379;3080
1977;3067
601;756
501;1062
4320;4429
2153;3299
4151;4200
2132;3534
193;3547
3093;4590
3990;4692
1321;2747
1910;3735
2067;3421
2926;3076
142;2073
4011;4188
1995;3139
322;1834
2845;3030
313;321
2896;2959
1052;1152
543;1251
2726;3214
4363;4486
4240;4555
1453;3320
55;849
3922;4760
3354;3619
1664;1969
4292;4599
2647;4192
3842;4364
1970;2633
4150;4390
1544;2132
2840;3061
8;111
48;1068
125;1074
3879;4249
2873;3082
1801;2633
719;1052
2202;3626
1707;3003
3456;4088
748;848
1591;2316
1753;4469
1477;2940
4080;4570
1382;1427
1856;3355
2827;2834
1872;3429
1616;2559
49;551
1342;1661
20;1184
4471;4786
2071;3342
4030;4543
3371;4718
4105;4383
1367;1766
1387;2796
2587;3696
3917;3949
2436;3389
807;1091
273;296
522;1110
3848;4130
295;1179
299;1244
4453;4500
213;638
4334;4570
580;3351
128;688
1735;3568
2667;3387
2454;3548
1965;2786
1685;3283
2855;2900
1479;3437
2870;4250
3269;3398
2548;3138
1845;3755
2165;3170
332;1267
2270;2600
1796;3639
3450;4782
413;578
3566;3616
2100;2547
1126;2284
1910;3182
4047;4749
1506;2151
1425;1459
299;1291
1471;3617
1972;2838
19;1444
1030;1086
2302;2850
278;647
1726;3006
1743;3012
2535;3350
1185;2955
2548;2555
2081;2633
2519;2800
426;497
3021;4067
2636;2746
2510;3172
285;1283
1955;2580
363;1110
3678;4246
4313;4410
4188;4591
1382;2359
171;2203
1926;3515
678;976
1773;1933
3507;3525
766;1804
1760;2587
1386;3646
823;863
2144;2867
2256;2845
13;2565
119;418
318;2673
2663;2993
254;627
1696;3486
1157;1276
1504;2120
4258;4341
2034;2464
1631;3142
1653;2746
3016;3202
488;503
2198;2356
311;1149
1856;2828
152;686
1334;2631
2001;2036
1338;1546
267;687
1264;1267
4165;4641
1194;1282
1429;2137
408;1203
1857;3478
4163;4640
303;382
3119;3439
527;1706
1548;1816
2882;3149
1870;2747
77;605
263;1180
2356;3364
2866;4741
1596;1884
3845;4266
347;763
1727;2706
2770;3650
2643;3760
993;1197
320;365
2181;2596
156;899
3776;4044
1900;2930
2392;3032
661;1130
308;710
4190;4734
312;641
3173;4330
2693;2716
2013;3270
4163;4591
840;963
605;733
2133;2620
2072;2629
495;1025
4545;4659
1763;2460
3934;3940
2387;3477
1128;3717
1810;2821
333;1291
741;1182
3493;4517
1427;3113
134;301
230;669
32;1006
1516;2540
4241;4350
1398;2320
1530;1928
471;2869
4122;4619
295;1215
3264;3300
2838;2891
14;605
4387;4773
2298;2977
2949;3302
154;160
3279;3392
3110;4067
3508;4426
3950;4583
202;660
1969;3628
2272;2793
2753;3238
4556;4759
3750;3758
3632;3713
858;1147
589;653
291;470
1768;3478
1499;4665
3539;3716
242;1252
672;1063
2690;3232
913;1219
1701;2362
1667;2782
1871;3123
2295;2957
4236;4524
8;1199
369;1263
961;1507
67;332
1544;2722
2208;2863
729;895
4290;4756
3985;4494
2202;2397
1200;2152
298;3052
3;648
2398;3370
1979;2302
4243;4652
4348;4376
1100;1193
1383;3458
789;910
1383;1646
4054;4538
1357;3074
2728;4455
1434;2264
673;941
1610;2502
602;1289
1386;3602
1385;3626
3780;4021
1842;3741
2920;3400
611;1117
874;1501
4365;4507
3297;3550
3349;3443
989;1084
551;789
3773;4589
293;613
3049;3687
2356;3505
3211;3618
1586;2094
464;477
120;1679
4056;4772
2927;3324
689;2552
